datetime,open,high,low,close,volume
2023-06-01 08:15:00,1884.66,1888.18,1884.26,1886.77,1356.44634
2023-06-01 08:30:00,1886.77,1888.32,1871.4,1874.77,1781.92077
2023-06-01 08:45:00,1874.77,1874.78,1868.32,1871.0,935.71945
2023-06-01 09:00:00,1871.0,1879.3,1871.0,1877.79,1084.6166
2023-06-01 09:15:00,1877.79,1879.28,1875.75,1878.05,755.81211
2023-06-01 09:30:00,1878.05,1878.29,1874.72,1874.72,450.71111
2023-06-01 09:45:00,1874.72,1878.08,1872.4,1874.15,1036.28582
2023-06-01 10:00:00,1874.15,1874.99,1871.29,1871.56,299.87091
2023-06-01 10:15:00,1871.56,1873.31,1870.83,1872.48,262.95126
2023-06-01 10:30:00,1872.48,1874.92,1870.2,1870.75,302.9168
2023-06-01 10:45:00,1870.75,1871.35,1848.83,1852.64,4877.63045
2023-06-01 11:00:00,1852.64,1855.39,1838.7,1854.71,3224.1184
2023-06-01 11:15:00,1854.71,1858.39,1853.79,1853.79,925.13234
2023-06-01 11:30:00,1853.79,1857.71,1853.58,1854.78,771.82496
2023-06-01 11:45:00,1854.78,1855.99,1854.01,1855.46,294.0651
2023-06-01 12:00:00,1855.46,1856.2,1853.78,1854.63,324.82552
2023-06-01 12:15:00,1854.63,1854.78,1852.24,1852.81,149.66407
2023-06-01 12:30:00,1852.81,1856.3,1852.81,1856.3,292.62066
2023-06-01 12:45:00,1856.3,1856.3,1854.56,1855.01,93.10683
2023-06-01 13:00:00,1855.01,1857.48,1853.69,1857.48,212.75412
2023-06-01 13:15:00,1857.48,1857.99,1857.04,1857.61,192.39798
2023-06-01 13:30:00,1857.61,1857.97,1855.97,1856.45,372.74822
2023-06-01 13:45:00,1856.45,1857.02,1855.21,1855.48,303.49271
2023-06-01 14:00:00,1855.48,1856.49,1854.53,1855.25,1104.84987
2023-06-01 14:15:00,1855.25,1855.89,1853.51,1854.39,723.07129
2023-06-01 14:30:00,1854.39,1856.75,1854.38,1856.75,388.34682
2023-06-01 14:45:00,1856.75,1856.91,1854.83,1854.92,274.5225
2023-06-01 15:00:00,1854.92,1855.24,1851.16,1852.73,464.871
2023-06-01 15:15:00,1852.73,1860.24,1851.71,1859.15,744.73483
2023-06-01 15:30:00,1859.15,1859.15,1855.6,1855.6,248.60265
2023-06-01 15:45:00,1855.6,1856.92,1853.53,1854.31,162.56417
2023-06-01 16:00:00,1854.31,1855.36,1852.03,1855.36,460.18799
2023-06-01 16:15:00,1855.36,1857.35,1854.99,1857.29,311.01129
2023-06-01 16:30:00,1857.29,1858.32,1856.89,1858.26,148.49546
2023-06-01 16:45:00,1858.26,1861.24,1858.15,1860.59,287.52037
2023-06-01 17:00:00,1860.59,1862.26,1860.58,1861.81,554.25459
2023-06-01 17:15:00,1861.81,1863.83,1861.37,1863.83,404.7017
2023-06-01 17:30:00,1863.83,1865.59,1862.53,1863.32,288.65966
2023-06-01 17:45:00,1863.32,1863.32,1861.56,1861.95,241.25382
2023-06-01 18:00:00,1861.95,1862.27,1860.0,1860.34,275.25918
2023-06-01 18:15:00,1860.34,1862.94,1859.66,1861.58,597.11011
2023-06-01 18:30:00,1861.58,1862.23,1861.16,1862.23,238.44366
2023-06-01 18:45:00,1862.23,1862.62,1859.32,1859.52,244.52018
2023-06-01 19:00:00,1859.52,1860.55,1859.52,1860.5,366.32525
2023-06-01 19:15:00,1860.5,1860.92,1858.04,1858.73,181.43166
2023-06-01 19:30:00,1858.73,1860.99,1858.73,1860.09,227.58767
2023-06-01 19:45:00,1860.09,1861.99,1860.08,1861.36,212.59413
2023-06-01 20:00:00,1861.36,1861.36,1859.04,1859.48,315.70068
2023-06-01 20:15:00,1859.48,1862.15,1857.29,1860.42,1940.58572
2023-06-01 20:30:00,1860.42,1865.19,1860.38,1862.48,846.12735
2023-06-01 20:45:00,1862.48,1866.0,1861.75,1864.6,630.94931
2023-06-01 21:00:00,1864.6,1866.5,1864.54,1865.47,468.81729
2023-06-01 21:15:00,1865.47,1865.47,1862.39,1862.95,435.20403
2023-06-01 21:30:00,1862.95,1863.71,1860.13,1860.68,832.14479
2023-06-01 21:45:00,1860.68,1863.13,1859.62,1861.25,593.29563
2023-06-01 22:00:00,1861.25,1865.82,1861.25,1863.29,939.90716
2023-06-01 22:15:00,1863.29,1863.39,1855.9,1858.87,1246.91678
2023-06-01 22:30:00,1858.87,1859.6,1857.07,1859.6,510.57897
2023-06-01 22:45:00,1859.6,1861.63,1858.07,1860.25,716.08024
2023-06-01 23:00:00,1860.25,1863.3,1858.01,1862.61,595.66166
2023-06-01 23:15:00,1862.61,1863.93,1861.55,1862.54,376.61417
2023-06-01 23:30:00,1862.54,1864.42,1861.84,1862.78,234.57173
2023-06-01 23:45:00,1862.78,1863.05,1861.61,1863.05,174.42545
2023-06-02 00:00:00,1863.05,1866.39,1862.93,1864.99,394.01454
2023-06-02 00:15:00,1864.99,1866.73,1864.54,1864.65,334.19474
2023-06-02 00:30:00,1864.65,1865.64,1860.86,1861.48,715.76006
2023-06-02 00:45:00,1861.48,1882.76,1861.0,1876.31,3031.9508
2023-06-02 01:00:00,1876.31,1880.3,1868.32,1873.05,1722.6438
2023-06-02 01:15:00,1873.05,1879.49,1872.24,1874.84,1350.74474
2023-06-02 01:30:00,1874.84,1875.13,1870.92,1873.0,651.59474
2023-06-02 01:45:00,1873.0,1873.98,1869.76,1870.68,359.63005
2023-06-02 02:00:00,1870.68,1874.94,1870.24,1874.64,421.23767
2023-06-02 02:15:00,1874.64,1877.22,1873.59,1873.86,393.0746
2023-06-02 02:30:00,1873.86,1873.86,1871.12,1871.2,253.0727
2023-06-02 02:45:00,1871.2,1873.99,1870.73,1873.8,496.14923
2023-06-02 03:00:00,1873.8,1875.49,1873.5,1874.5,309.40208
2023-06-02 03:15:00,1874.5,1874.5,1870.0,1870.15,636.90415
2023-06-02 03:30:00,1870.15,1871.2,1857.38,1865.79,2795.04562
2023-06-02 03:45:00,1865.79,1869.5,1865.78,1869.27,357.19819
2023-06-02 04:00:00,1869.27,1873.12,1869.27,1871.09,557.33178
2023-06-02 04:15:00,1871.09,1871.79,1868.46,1868.46,283.89646
2023-06-02 04:30:00,1868.46,1870.77,1867.66,1868.3,336.7559
2023-06-02 04:45:00,1868.3,1869.16,1868.1,1869.02,122.42173
2023-06-02 05:00:00,1869.02,1873.61,1869.02,1871.28,434.87064
2023-06-02 05:15:00,1871.28,1873.32,1871.21,1872.99,809.39401
2023-06-02 05:30:00,1872.99,1872.99,1867.47,1867.47,198.30459
2023-06-02 05:45:00,1867.47,1870.3,1867.47,1868.92,203.14161
2023-06-02 06:00:00,1868.92,1869.78,1866.8,1867.5,632.62816
2023-06-02 06:15:00,1867.5,1868.0,1866.65,1867.47,188.87806
2023-06-02 06:30:00,1867.47,1867.47,1864.93,1866.05,226.0637
2023-06-02 06:45:00,1866.05,1868.99,1864.27,1867.38,279.96555
2023-06-02 07:00:00,1867.38,1867.53,1864.51,1865.63,296.69039
2023-06-02 07:15:00,1865.63,1866.0,1860.51,1860.63,397.64478
2023-06-02 07:30:00,1860.63,1861.48,1853.06,1861.48,1962.63205
2023-06-02 07:45:00,1861.48,1862.66,1860.34,1861.81,349.5464
2023-06-02 08:00:00,1861.81,1862.77,1860.02,1860.02,408.70598
2023-06-02 08:15:00,1860.02,1861.4,1856.56,1857.95,1170.01241
2023-06-02 08:30:00,1857.95,1864.25,1847.68,1862.14,2784.76374
